fid,id,inscricoes,latitude,longitude,elevacao,setor_abastecimento
"11695","29903","2923343",-3.72213899589883,-38.4764123943353,25.2396945953369,"18"
"11696","29904","5163447",-3.79125232342279,-38.4725207642681,19.7559242248535,"10"
"11697","29905","10163743",-3.79432977488904,-38.4689441632307,11.9393129348755,"10"
"11698","29906","10810854",-3.79179600912586,-38.4642134456419,10.5404405593872,"10"
"11699","29907","5275199",-3.78917541767556,-38.4821792196836,12.5262498855591,"10"
"11700","29908","7737130",-3.72747086363092,-38.4682649707212,51,"18"
"11701","29909","4031091",-3.72255074453409,-38.4745573390508,26.0923156738281,"18"
"11702","29910","4022360",-3.72546952423647,-38.4645328849286,11.3342275619507,"18"
"11703","29911","5573254",-3.72809159076714,-38.4662691747202,30.8775539398193,"18"
"11704","29912","5127050",-3.79410098598345,-38.4601068511594,11.0720500946045,"10"
"11705","29926","6893023",-3.79187998628007,-38.5838075208852,19.8868312835693,"11"
"11706","29927","3301028",-3.78899833198639,-38.5798832508277,30,"11"
"11707","29928","4811402",-3.80357479919632,-38.6054183737459,19.558198928833,"4"
"11708","29929","3091724",-3.76138881474447,-38.6132998102812,15.4992303848267,"4"
"11709","29930","5465443",-3.75802579233116,-38.5768037919236,31.5684337615967,"13"
"11710","29931","7021968",-3.75660343059879,-38.5770964463886,31.3595428466797,"13"
"11711","29932","7258690",-3.75388231087316,-38.5777531028233,29.3119525909424,"13"
"11712","29960","1653547",-3.7135072505903,-38.5755260783735,18.9294147491455,"5"
"11713","29961","7776764",-3.71792032175194,-38.5766543401599,19.9503803253174,"5"
"11714","29962","1401262",-3.72530512931381,-38.5685542502565,21,"5"
"11715","29963","1401319",-3.72546872393551,-38.5686067530091,21.064432144165,"5"
"11716","29966","1427040",-3.74375907784474,-38.5933847404312,22.3590755462646,"5"
"11717","29967","10809929",-3.70947993594523,-38.5597409985031,19.6790332794189,"5"
"11718","29968","5725526",-3.70675054529712,-38.5643644505179,31,"5"
"11719","29970","3510190",-3.7113042834639,-38.5653640570706,21,"5"
"11720","29975","7538065",-3.82423149218295,-38.5867310473011,39.0117950439453,"15"
"11721","29976","8368236",-3.83493088597997,-38.4954167693648,19.5581378936768,"3"
"11722","29977","5089093",-3.8372181900599,-38.5146502522628,16.4792747497559,"3"
"11723","29978","6979335",-3.8335327201641,-38.5194982165287,16.3571758270264,"3"
"11724","29979","5357942",-3.82799951435062,-38.5868035594633,34,"15"
"11725","29980","8337608",-3.83347239538124,-38.5762718214275,30.3490924835205,"15"
"11726","29981","6990967",-3.83556000977575,-38.52504538544,12.0200004577637,"3"
"11727","29982","8695407",-3.83154289188565,-38.5169299521794,11.0799999237061,"3"
"11728","29994","8403678",-3.81468981223634,-38.6169019031727,24,"4"
"11729","29995","8071179",-3.8123137222109,-38.6139645378575,22.7576179504395,"4"
"11730","29996","8067031",-3.81265355142759,-38.6147424319582,23,"4"
"11731","29997","7965320",-3.81876029513838,-38.6168990068248,24.9578914642334,"4"
"11732","29998","962880",-3.75906308426732,-38.5855012892395,25.1643390655518,"13"
"11733","29999","962651",-3.7575573197715,-38.5854034929976,25,"13"
"11734","30000","4587308",-3.76223310323787,-38.5816048566308,19.1076011657715,"13"
"11735","30001","3087506",-3.77588812987945,-38.6204652313623,21.5538349151611,"4"
"11736","30002","1957295",-3.77207813089186,-38.6005978170564,22.8496227264404,"4"
"11737","30003","1902423",-3.77350124536627,-38.6152194983209,10.1447668075562,"4"
"11738","30004","3069583",-3.77029159324901,-38.6149005551712,11,"4"
"11739","30016","1529366",-3.7219110599741,-38.5795530984886,22,"5"
"11740","30017","3650154",-3.73368443877434,-38.5743488542693,14,"5"
"11741","30018","10385320",-3.72759920389708,-38.575189115943,20,"5"
"11742","30019","10403469",-3.7066351567304,-38.5606133690619,18.3077182769775,"5"
"11743","30020","1625110",-3.70947242555466,-38.5588110289113,23.7026443481445,"5"
"11744","30021","4169620",-3.70580513691177,-38.5615219800705,17.9720001220703,"5"
"11745","30022","5681170",-3.70582623859709,-38.5614721989967,17.6755123138428,"5"
"11746","30023","1624032",-3.71093843708216,-38.5592386640917,21,"5"
"11747","30024","1633252",-3.70355854908093,-38.5678203668648,16.3058757781982,"5"
"11748","30025","6539831",-3.71923579305446,-38.5718733687246,23,"5"
"11749","30026","1582747",-3.71167075710421,-38.5882264945632,16.8160934448242,"5"
"11750","30027","1676431",-3.70613677844741,-38.5699729234532,18.6747798919678,"5"
"11751","30032","1845128",-3.86033378176603,-38.5006997954278,11.29944896698,"3"
"11752","30033","4041623",-3.79559391299861,-38.5455194491415,10.8021926879883,"12"
"11753","30034","8730245",-3.80961116627944,-38.5344844954499,25.7178554534912,"12"
"11754","30035","8479577",-3.82009022635053,-38.5564965936794,34,"12"
"11755","30036","7219679",-3.80282459314725,-38.5476765025988,21.9696178436279,"12"
"11756","30037","8260184",-3.81059814654952,-38.5294100824607,18.0345420837402,"12"
"11757","30038","10355944",-3.80176594789913,-38.532753892046,14.892240524292,"12"
"11758","30039","2262533",-3.80382263146924,-38.5407670013445,17.7558403015137,"12"
"11759","30051","8847533",-3.77508755056232,-38.5133737359655,4,"6"
"11760","30052","8861960",-3.77590176610406,-38.5136922661245,3.09286594390869,"6"
"11761","30053","3141136",-3.77159471653362,-38.5132381806241,4.88843727111816,"6"
"11762","30054","10555064",-3.80542534562028,-38.4588428817079,11.4700384140015,"10"
"11763","30055","8254125",-3.78880317652731,-38.4585361917533,9.64381504058838,"10"
"11764","30056","5134048",-3.77439560279506,-38.4727820407182,18.6615180969238,"10"
"11765","30057","8221863",-3.79350858055365,-38.4692555461969,14.8928499221802,"10"
"11766","30058","10564039",-3.78553110268102,-38.4587111273253,12.6299238204956,"10"
"11767","30059","6593143",-3.76927414883513,-38.4727639916834,14,"10"
"11768","30060","55271",-3.73391416973924,-38.5165547621385,20.9752635955811,"17"
"11769","30062","5636809",-3.78847392341209,-38.5648900391223,21.5688285827637,"11"
"11770","30063","2011123",-3.77921337690715,-38.6082240846265,12,"4"
"11771","30064","6913202",-3.78268213843625,-38.6083095498417,13.2335519790649,"4"
"11772","30065","2670445",-3.7777950635227,-38.6080347344579,11.7937860488892,"4"
"11773","30066","3875903",-3.77627238233828,-38.607018157515,11.7070016860962,"4"
"11774","30067","10597905",-3.78740880567944,-38.6156693989052,14.9496698379517,"4"
"11775","30068","3928268",-3.78697045759831,-38.6196636951872,20.7414035797119,"4"
"11776","30069","3926257",-3.78997439809199,-38.6155570500502,25,"4"
"11777","30071","738700",-3.8001276630727,-38.6241542205664,32.9475555419922,"4"
"11778","30073","7600011",-3.83494295981519,-38.5712994842008,36.8301239013672,"15"
"11779","30074","4859740",-3.83103842020724,-38.5692081935875,35.425666809082,"15"
"11780","30075","8315205",-3.83261668138617,-38.5794747546956,30.1446781158447,"15"
"11781","30076","7601930",-3.83547784979214,-38.5742548915001,40.6999893188477,"15"
"11782","30077","7602510",-3.83553983326979,-38.5732201830716,41.1829833984375,"15"
"11783","30078","8316546",-3.83702959585364,-38.5755297596468,40.1271896362305,"15"
"11784","30079","10386432",-3.81738475163219,-38.4853745617562,20.2191867828369,"3"
"11785","30080","5544360",-3.85090556815911,-38.4744332008682,12.1779880523682,"3"
"11786","30081","675636",-3.8377018169229,-38.5176548824638,22.8925819396973,"3"
"11787","30082","7920962",-3.83926672811324,-38.5198519327185,19.7465763092041,"3"
"11788","30083","672564",-3.83329073411295,-38.5165502234948,13.6621446609497,"3"
"11789","30084","8252491",-3.79335706674947,-38.459153498903,9.5805549621582,"10"
"11790","30085","4030583",-3.72291364823598,-38.474566634207,23.5287628173828,"18"
"11791","30086","4008022",-3.72984156318787,-38.4722955529773,24.5624961853027,"18"
"11792","30087","10541691",-3.80533496245455,-38.4626908786708,6.54660940170288,"10"
"11793","30088","7961820",-3.79681676630144,-38.4638650825539,5.47004413604736,"10"
"11794","30089","8251665",-3.79809494499784,-38.4509604603115,9.40864181518555,"10"
"11795","30090","5184517",-3.7901265214022,-38.4726163026586,18.4660758972168,"10"
"11796","30091","5153867",-3.79329346799016,-38.4670373390401,6.01274013519287,"10"
"11797","30093","5164320",-3.77207879851796,-38.4725770387833,16.866584777832,"10"
"11798","30094","4856856",-3.74079783997025,-38.4598334127759,46.6280708312988,"18"
"11799","30095","4096932",-3.74374989637245,-38.472162613975,17.5566596984863,"18"
"11800","30106","1763270",-3.80854081409015,-38.606871354815,20.1062717437744,"4"
"11801","30107","7901925",-3.80545945494219,-38.6101060938855,20,"4"
"11802","30108","2238497",-3.76866677036719,-38.6122902746636,10,"4"
"11803","30109","1893777",-3.76943860120631,-38.6128796859254,10,"4"
